,id_participante,id_mensaje,enviado,tipo,subtipo,recibido,clase,recibido_limpio,recibido_corregido,recibido_corregido_sin_emoticones,recibido_corregido_significado_emoticones,recibido_corregido_significado_emoticones_sin_tildes,recibido_corregido_significado_emoticones_sin_stop_words,recibido_corregido_significado_emoticones_sin_tildes_sin_stop_words,recibido_corregido_significado_emoticones_sin_stop_words_lematizada,recibido_corregido_significado_emoticones_sin_tildes_sin_stop_words_lematizada,recibido_corregido_significado_emoticones_sin_stop_words_stemetizada,recibido_corregido_significado_emoticones_sin_tildes_sin_stop_words_stemetizada
578,162,611, La DIABETES a veces es silenciosa. Algunas personas no tienen síntomas y no se dan cuenta de que su azúcar está alta.  ¿Te mediste  el azúcar últimamente?,educativo,glicemia,Si,respuesta a consejo o pregunta,si,si,si,si,si,si,si,si,si,si,si
579,162,612," No dejes de tomar el medicamento para la DIABETES. Si lo abandonas, el azúcar en sangre volverá a subir.",educativo,,Ok,respuesta a consejo o pregunta,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
580,162,613, Para que la DIABETES esté bien controlada tenés que tener un valor de hemoglobina glicosilada de alrededor de 7. ¿Conoces cuál es tu valor de hemoglobina glicosilada ?,educativo,glicemia,No,glicemia,no,no,no,no,no,no,no,no,no,no,no
581,162,614, ¿Sabías que para controlar el azúcar alta hay que hacerse un análisis en sangre de hemoglobina glicosilada cada 6 meses? Consulta al médico.,educativo,glicemia,Si voy al médico nwumonologo,respuesta a consejo o pregunta,si voy al médico nwumonologo,si voy al médico nwumonologo,si voy al médico nwumonologo,si voy al médico nwumonologo,si voy al medico nwumonologo,si voy médico nwumonologo,si voy medico nwumonologo,si ir médico nwumonologo,si ir medico nwumonologo,si voy medic nwumonolog,si voy medic nwumonolog
582,162,615," Planifica hacer actividad física o el ejercicio que más te guste. Te vas a divertir y además te va a ayudar a bajar la presión, el colesterol y el azúcar.",educativo,,Ok si el lunes me asen ecodople en la pierna derecha grasias,respuesta a consejo o pregunta,ok si el lunes me asen ecodople en la pierna derecha grasias,ok si el lunes me hacen ecodople en la pierna derecha gracias,ok si el lunes me hacen ecodople en la pierna derecha gracias,ok si el lunes me hacen ecodople en la pierna derecha gracias,ok si el lunes me hacen ecodople en la pierna derecha gracias,ok si lunes hacen ecodople pierna derecha gracias,ok si lunes hacen ecodople pierna derecha gracias,ok si lunes hacer ecodople pierna derecho gracias,ok si lunes hacer ecodople pierna derecho gracias,ok si lun hac ecodopl piern derech graci,ok si lun hac ecodopl piern derech graci
583,162,616," Aunque te sientas bien, si tenés DIABETES o estás tomando medicamentos para el azúcar, visita a tu médico al menos cada 3 meses para un control.",educativo,,Estoy en el medico en el diabetilogo,respuesta a consejo o pregunta,estoy en el medico en el diabetilogo,estoy en el medico en el diabetilogo,estoy en el medico en el diabetilogo,estoy en el medico en el diabetilogo,estoy en el medico en el diabetilogo,medico diabetilogo,medico diabetilogo,medico diabetilogo,medico diabetilogo,medic diabetilog,medic diabetilog
584,163,617," Si el médico te receta medicamentos para la DIABETES, tómalos siguiendo sus indicaciones. No los suspendas por tu cuenta, consulta siempre.",educativo,,👍,agradecimiento,👍,👍, em_pulgar_hacia_arriba ,,,,,,,,
585,163,618," Si te sentis mal y pensás que es por los medicamentos que estás tomando, consulta con el médico.",educativo,,👍,agradecimiento,👍,👍, em_pulgar_hacia_arriba ,,,,,,,,
586,164,619," Podés cuidar tu DIABETES. ¿Cómo? Haciendo ejercicio, evitando fumar, comiendo más verduras y frutas y eligiendo alimentos con menos azúcar y grasas.",educativo,,🫠,,🫠,🫠, em_cara_derritiéndose ,,,,,,,,
587,165,620, La DIABETES es una enfermedad que dura toda la vida (crónica). La falta de insulina o la dificultad para utilizarla hace que el azúcar de los alimentos aumente y se acumule en la sangre (azúcar alta en sangre).,educativo,,Bien,respuesta a consejo o pregunta,bien,bien,bien,bien,bien,bien,bien,bien,bien,bien,bien
588,166,621,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
589,166,622,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,Muchas gracias,agradecimiento,muchas gracias,muchas gracias,muchas gracias,muchas gracias,muchas gracias,muchas gracias,muchas gracias,mucho gracia,mucho gracia,much graci,much graci
590,166,623, Evita caminar sin zapatos porque se pueden producir heridas en los pies. Las personas con DIABETES tienen los pies más sensibles. ¡Cuídelos!,educativo,,Hola buenos días muchas gracias por todo los consejos que me mandan los tengo muy presente y los sigo al pies de la letra muchas gracias,agradecimiento,hola buenos días muchas gracias por todo los consejos que me mandan los tengo muy presente y los sigo al pies de la letra muchas gracias,hola buenos días muchas gracias por todo los consejos que me mandan los tengo muy presente y los sigo al pies de la letra muchas gracias,hola buenos días muchas gracias por todo los consejos que me mandan los tengo muy presente y los sigo al pies de la letra muchas gracias,hola buenos días muchas gracias por todo los consejos que me mandan los tengo muy presente y los sigo al pies de la letra muchas gracias,hola buenos dias muchas gracias por todo los consejos que me mandan los tengo muy presente y los sigo al pies de la letra muchas gracias,hola buenos días muchas gracias consejos mandan tengo muy presente sigo pies letra muchas gracias,hola buenos dias muchas gracias consejos mandan tengo muy presente sigo pies letra muchas gracias,holar buen día mucho gracia consejo mandar tener mucho presente seguir pie letra mucho gracia,holar buen dia mucho gracia consejo mandar tener mucho presente seguir pie letra mucho gracia,hol buen dias much graci consej mand teng muy present sig pies letr much graci,hol buen dias much graci consej mand teng muy present sig pies letr much graci
591,166,624, Para que tu presión esté bien tenés que tener menos de 140/90 o 14/9. ¿Cuál es tu presión?,educativo,,130/90 asta 150 /90,respuesta a consejo o pregunta,130 90 asta 150 90,130 90 asta 150 90,130 90 asta 150 90,130 90 asta 150 90,130 90 asta 150 90,130 90 asta 150 90,130 90 asta 150 90,130 90 asta 150 90,130 90 asta 150 90,130 90 asta 150 90,130 90 asta 150 90
592,166,625, ¿Tenés controlados tus valores de azúcar en sangre? Consulta y controlate periódicamente con el médico de tu centro de salud.,educativo,glicemia,Si lo hago muchas gracias por los consejos,respuesta a consejo o pregunta,si lo hago muchas gracias por los consejos,si lo hago muchas gracias por los consejos,si lo hago muchas gracias por los consejos,si lo hago muchas gracias por los consejos,si lo hago muchas gracias por los consejos,si hago muchas gracias consejos,si hago muchas gracias consejos,si hacer mucho gracia consejo,si hacer mucho gracia consejo,si hag much graci consej,si hag much graci consej
593,167,626,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
594,167,627,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,Gracias,agradecimiento,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,graci,graci
595,167,628, ¿Sabías que la DIABETES es una enfermedad que se puede prevenir?,educativo,,Hola como,pregunta,hola como,hola como,hola como,hola como,hola como,hola,hola,holar,holar,hol,hol
596,167,629, Anotar la Actividad Física que hacés ayuda para ir aumentando poco a poco la cantidad de ejercicio que hacemos para llegar a nuestra meta. ¡Ánimo!,educativo,,Ok,respuesta a consejo o pregunta,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
597,167,630," ¿Es difícil dejar el ""picoteo""? Una buena opción para no subir de peso es tener a mano ""picoteos saludables"", como por ejemplo: chips de frutas o verduras desecadas, bastoncitos de apio o zanahoria, semillas de clabaza tostadas.",educativo,,Ok,respuesta a consejo o pregunta,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
598,167,631, ¿Sabías que las lentejas y los porotos son alimentos con mucha fibra que te va a ayudar a sentirte lleno? Estos alimentos nos ayudan a evitar el picoteo y pueden combinarse con muchos otros alimentos.,educativo,,Ok,respuesta a consejo o pregunta,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
599,167,632," Si tengo hambre, puedo comer un snack saludable antes de salir de casa (una fruta, algunas frutas secas, turrón, etc.)",educativo,,Ok,respuesta a consejo o pregunta,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
600,167,633," Cuando vayas al supermercado, ¡cuidado con los envases o paquetes grandes de alimentos no saludables! ¡Suelen ser más baratos y terminamos comiendo de más!",educativo,,Ok,respuesta a consejo o pregunta,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
601,167,634, El consumo de agua nos ayuda a mantener las funciones del cuerpo y nos ayuda a bajar de peso.,educativo,,Ok,respuesta a consejo o pregunta,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
602,167,635," Sabemos que hacer ejercicio puede ser difícil y, aunque ya vengas haciendo ejercicio, puede que un dia no quieras ir, pero vamos ¡no pierdas las ganas!",educativo,,Ok,respuesta a consejo o pregunta,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
603,167,636, ¡Perder peso y realizar actividad fisica puede ayudarnos a prevenir la diabetes!,educativo,,Ok,respuesta a consejo o pregunta,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
604,167,637," La PREDIABETES es un estado anterior a la diabetes, en donde el azúcar en sangre (glucemia) está en valores por encima de lo normal (entre 110 y 125 mg/dl)",educativo,,Ok,respuesta a consejo o pregunta,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
605,167,638," Las metas son algo que deseamos, planeamos y nos comprometemos a hacer. Es importante pensar nuestras metas antes de pensar un cambio de hábito. ¿Pensaste alguna vez en qué metas querés cumplir?",educativo,,Ok,respuesta a consejo o pregunta,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
606,167,639, ¿Qué podés hacer hoy para acercarte a cumplir el cambio de hábito que deseas? Es importante ir cambiando poco a poco. Un pequeño cambio es de gran ayuda.,educativo,,Ok,respuesta a consejo o pregunta,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
607,167,640, La insulina evita que la DIABETES avance. Ayuda a que el azúcar en la sangre no suba.,educativo,,Ok,respuesta a consejo o pregunta,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
608,167,641," Si querés bajar de peso, es importante que sea de a poco, para que se mantenga a lo largo del tiempo. Esto nos ayuda a evitar el ""Efecto Rebote"" o volver a subir rápido.",educativo,,Ok,respuesta a consejo o pregunta,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
609,168,642, La DIABETES es una enfermedad que dura toda la vida (crónica). La falta de insulina o la dificultad para utilizarla hace que el azúcar de los alimentos aumente y se acumule en la sangre (azúcar alta en sangre).,educativo,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
610,168,643, La DIABETES es una enfermedad que dura toda la vida (crónica). La falta de insulina o la dificultad para utilizarla hace que el azúcar de los alimentos aumente y se acumule en la sangre (azúcar alta en sangre).,educativo,,Okey,respuesta a consejo o pregunta,okey,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
611,168,644," Si tus valores de azúcar en sangre están altos, visita a tu médico. ¡Él ayudará a que bajen para que  puedas estar bien!",educativo,glicemia,Si estoymedicada,respuesta a consejo o pregunta,si estoymedicada,si estoy medicada,si estoy medicada,si estoy medicada,si estoy medicada,si medicada,si medicada,si medicado,si medicado,si medic,si medic
612,168,645," Si tus valores de azúcar en sangre están altos, visita a tu médico. ¡Él ayudará a que bajen para que  puedas estar bien!",educativo,glicemia,Si yo tengo el ospital acá 9 de julio San [nombre],respuesta a consejo o pregunta,si yo tengo el ospital acá 9 de julio san nombre ,si yo tengo el ospital acá 9 de julio san nombre ,si yo tengo el ospital acá 9 de julio san nombre ,si yo tengo el ospital acá 9 de julio san nombre,si yo tengo el ospital aca 9 de julio san nombre,si tengo ospital acá 9 julio san nombre,si tengo ospital aca 9 julio san nombre,si tener ospital acá 9 julio san nombre,si tener ospital aca 9 julio san nombre,si teng ospital aca 9 juli san nombr,si teng ospital aca 9 juli san nombr
613,168,646," Se puede llevar una vida normal teniendo DIABETES. Sólo es necesario comer sano, hacer ejercicios habitualmente y tomar los medicamentos que te da el médico.",educativo,,Si,respuesta a consejo o pregunta,si,si,si,si,si,si,si,si,si,si,si
614,168,647," Aunque te sientas bien, si tenés DIABETES o estás tomando medicamentos para el azúcar, visita a tu médico al menos cada 3 meses para un control.",educativo,,si y me esperas lista,respuesta a consejo o pregunta,si y me esperas lista,si y me esperas lista,si y me esperas lista,si y me esperas lista,si y me esperas lista,si esperas lista,si esperas lista,si esperas lista,si esperas lista,si esper list,si esper list
615,168,648," Si te sentis mal y pensás que es por los medicamentos que estás tomando, consulta con el médico.",educativo,,Okey,respuesta a consejo o pregunta,okey,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
616,168,649," Si te sentis mal y pensás que es por los medicamentos que estás tomando, consulta con el médico.",educativo,,Bueno por ahora estoy bien gracias a Dios,respuesta a consejo o pregunta,bueno por ahora estoy bien gracias a dios,bueno por ahora estoy bien gracias a dios,bueno por ahora estoy bien gracias a dios,bueno por ahora estoy bien gracias a dios,bueno por ahora estoy bien gracias a dios,bueno ahora bien gracias dios,bueno ahora bien gracias dios,bueno ahora bien gracias dio,bueno ahora bien gracias dio,buen ahor bien graci dios,buen ahor bien graci dios
617,169,650,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,Hola si,optin,hola si,hola si,hola si,hola si,hola si,hola si,hola si,holar si,holar si,hol si,hol si
618,169,651, La DIABETES a veces es silenciosa. Algunas personas no tienen síntomas y no se dan cuenta de que su azúcar está alta.  ¿Te mediste  el azúcar últimamente?,educativo,glicemia,No,respuesta a consejo o pregunta,no,no,no,no,no,no,no,no,no,no,no
619,169,652," Haciendo actividad física al menos 30 minutos al día te va a bajar el azúcar, la presión y vas evitar enfermedades.",educativo,,Me pueden ubicar a este WhatsApp [numero],equivocado,me pueden ubicar a este whatsapp numero ,me pueden ubicar a este whatsapp número ,me pueden ubicar a este whatsapp número ,me pueden ubicar a este whatsapp número,me pueden ubicar a este whatsapp numero,pueden ubicar whatsapp número,pueden ubicar whatsapp numero,poder ubicar whatsapp número,poder ubicar whatsapp numero,pued ubic whatsapp numer,pued ubic whatsapp numer
620,169,653, Fíjate cuántos medicamentos para la DIABETES le quedan. Visita al médico para conseguir una receta antes de que se te acaben.,educativo,,Hola me podrían mandar a este WhatsApp [numero] gracias,equivocado,hola me podrían mandar a este whatsapp numero gracias,hola me podrían mandar a este whatsapp número gracias,hola me podrían mandar a este whatsapp número gracias,hola me podrían mandar a este whatsapp número gracias,hola me podrian mandar a este whatsapp numero gracias,hola podrían mandar whatsapp número gracias,hola podrian mandar whatsapp numero gracias,hola poder mandar whatsapp número gracias,hola podriar mandar whatsapp numero gracias,hol podr mand whatsapp numer graci,hol podri mand whatsapp numer graci
621,169,654,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,Hola buenas tardes,saludo,hola buenas tardes,hola buenas tardes,hola buenas tardes,hola buenas tardes,hola buenas tardes,hola buenas tardes,hola buenas tardes,holar buena tarde,holar buena tarde,hol buen tard,hol buen tard
622,169,655,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
623,169,656,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,Hola buen día,saludo,hola buen día,hola buen día,hola buen día,hola buen día,hola buen dia,hola buen día,hola buen dia,holar buen día,holar buen dia,hol buen dia,hol buen dia
624,169,657," Aunque te sientas bien, si tenés DIABETES o estás tomando medicamentos para el azúcar, visita a tu médico al menos cada 3 meses para un control.",educativo,,Cómo podría comprarlos pero más baratos,medicación,cómo podría comprarlos pero más baratos,cómo podría comprarlos pero más baratos,cómo podría comprarlos pero más baratos,cómo podría comprarlos pero más baratos,como podria comprarlos pero mas baratos,cómo podría comprarlos baratos,podria comprarlos mas baratos,cómo poder comprarlos barato,podrio comprar él mas barato,com podr compr barat,podri compr mas barat
625,169,658," En la visita con el médico, habla los temas que son importantes para estar bien. (ej: qué análisis tenes que hacerte o cómo tomar los medicamentos)",educativo,,👆👆👆👆,,👆,👆, em_dorso_de_mano_con_índice_hacia_arriba ,,,,,,,,
626,169,659," Podés cuidar tu DIABETES. ¿Cómo? Haciendo ejercicio, evitando fumar, comiendo más verduras y frutas y eligiendo alimentos con menos azúcar y grasas.",educativo,,👆👆👆,,👆,👆, em_dorso_de_mano_con_índice_hacia_arriba ,,,,,,,,
627,169,660," ¿Sabías que si bajas de peso vas a mejorar su salud? Te va a bajar el azúcar en la sangre, la presión arterial y también el colesterol.",educativo,,Me van a contestar,pregunta,me van a contestar,me van a contestar,me van a contestar,me van a contestar,me van a contestar,van contestar,van contestar,ir contestar,ir contestar,van contest,van contest
628,170,661, La DIABETES es una enfermedad que dura toda la vida (crónica). La falta de insulina o la dificultad para utilizarla hace que el azúcar de los alimentos aumente y se acumule en la sangre (azúcar alta en sangre).,educativo,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
629,170,662, La DIABETES es una enfermedad que dura toda la vida (crónica). La falta de insulina o la dificultad para utilizarla hace que el azúcar de los alimentos aumente y se acumule en la sangre (azúcar alta en sangre).,educativo,,Muchas gracias,agradecimiento,muchas gracias,muchas gracias,muchas gracias,muchas gracias,muchas gracias,muchas gracias,muchas gracias,mucho gracia,mucho gracia,much graci,much graci
630,170,663, La DIABETES es una enfermedad que dura toda la vida (crónica). La falta de insulina o la dificultad para utilizarla hace que el azúcar de los alimentos aumente y se acumule en la sangre (azúcar alta en sangre).,educativo,,Mí pregunta es que si un diabético tiene que tomar alguna clase de vitamina?,pregunta,mí pregunta es que si un diabético tiene que tomar alguna clase de vitamina ,mí pregunta es que si un diabético tiene que tomar alguna clase de vitamina ,mí pregunta es que si un diabético tiene que tomar alguna clase de vitamina ,mí pregunta es que si un diabético tiene que tomar alguna clase de vitamina,mi pregunta es que si un diabetico tiene que tomar alguna clase de vitamina,pregunta si diabético tomar alguna clase vitamina,pregunta si diabetico tomar alguna clase vitamina,preguntar si diabéticir tomar alguno clase vitamín,preguntar si diabetico tomar alguno clase vitamín,pregunt si diabet tom algun clas vitamin,pregunt si diabet tom algun clas vitamin
631,170,664, Para que tu DIABETES esté bien controlada debe tener un valor de hemoglobina glicosilada cercano al 7 en sus analisis de sangre. ¿Conoces cuál es tu valor de hemoglobina glicosilada ?,educativo,glicemia,No,glicemia,no,no,no,no,no,no,no,no,no,no,no
632,170,665," Se puede llevar una vida normal teniendo DIABETES. Sólo es necesario comer sano, hacer ejercicios habitualmente y tomar los medicamentos que te da el médico.",educativo,,Muchas gracias👌🏻😘,agradecimiento,muchas gracias👌🏻😘,muchas gracias👌🏻😘,muchas gracias em_señal_de_aprobación_con_la_mano   em_cara_lanzando_un_beso ,muchas gracias,muchas gracias,muchas gracias,muchas gracias,mucho gracia,mucho gracia,much graci,much graci
633,171,666, Podés tener tu presión normal si usas menos sal en tu comida. Proteje tu corazón.,educativo,,Hola nesesito ser tratado por al medico,turno,hola nesesito ser tratado por al medico,hola nesesito ser tratado por al medico,hola nesesito ser tratado por al medico,hola nesesito ser tratado por al medico,hola nesesito ser tratado por al medico,hola nesesito ser tratado medico,hola nesesito ser tratado medico,holar nesesito ser tratar medico,holar nesesito ser tratar medico,hol nesesit ser trat medic,hol nesesit ser trat medic
634,172,667, La DIABETES es una enfermedad que dura toda la vida (crónica). La falta de insulina o la dificultad para utilizarla hace que el azúcar de los alimentos aumente y se acumule en la sangre (azúcar alta en sangre).,educativo,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
635,172,668, La DIABETES es una enfermedad que dura toda la vida (crónica). La falta de insulina o la dificultad para utilizarla hace que el azúcar de los alimentos aumente y se acumule en la sangre (azúcar alta en sangre).,educativo,,👍🏻👌🏻,agradecimiento,👍🏻👌🏻,👍🏻👌🏻, em_pulgar_hacia_arriba   em_señal_de_aprobación_con_la_mano  ,,,,,,,,
636,172,669, Si pasaron mas de 3 meses de la ultima vez que viste al medico. Pedi a un turno.,educativo,,Ya me sacaron del prosadia,queja,ya me sacaron del prosadia,ya me sacaron del prosadia,ya me sacaron del prosadia,ya me sacaron del prosadia,ya me sacaron del prosadia,ya sacaron prosadia,ya sacaron prosadia,ya sacar prosadia,ya sacar prosadia,ya sac prosadi,ya sac prosadi
637,173,670, ¿Cuánto tiempo pasas mirando tele? Para ser una persona activa sólo necesita 30 minutos al día de actividad física!,educativo,,Flaca sí podés sácame turno para la doctora para este jueves,turno,flaca sí podés sácame turno para la doctora para este jueves,flaca sí podés sácame turno para la doctora para este jueves,flaca sí podés sácame turno para la doctora para este jueves,flaca sí podés sácame turno para la doctora para este jueves,flaca si podes sacame turno para la doctora para este jueves,flaca sí podés sácame turno doctora jueves,flaca si podes sacame turno doctora jueves,flaco sí podés sácame turno doctoro jueves,flacar si podes sacame turno doctora jueves,flac si podes sacam turn doctor juev,flac si pod sacam turn doctor juev
638,174,671,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
639,174,672,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,Ok,agradecimiento,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
640,174,673,Hemos llegado al final de nuestro programa de mensajes. Recordá que siempre contás con el apoyo del equipo de salud de tu centro.,final,,Gracias,agradecimiento,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,graci,graci
641,175,674, ¿Sabías que para controlar el azúcar alta hay que hacerse un análisis en sangre de hemoglobina glicosilada cada 6 meses? Consulta al médico.,educativo,glicemia,👍👍,agradecimiento,👍👍,👍👍, em_pulgar_hacia_arriba  em_pulgar_hacia_arriba ,,,,,,,,
642,175,675," Cuidar tus pies es muy importante. Lavalos todos los días con agua tibia, secalos bien y huméctalos con crema o aceite.",educativo,,👍👍,agradecimiento,👍👍,👍👍, em_pulgar_hacia_arriba  em_pulgar_hacia_arriba ,,,,,,,,
643,175,676," Para cuidar mejor tus pies, usa siempre medias de algodón.",educativo,,👍👍,agradecimiento,👍👍,👍👍, em_pulgar_hacia_arriba  em_pulgar_hacia_arriba ,,,,,,,,
644,175,677," Para cuidar mejor tus pies, usa siempre medias de algodón.",educativo,,👍👍,agradecimiento,👍👍,👍👍, em_pulgar_hacia_arriba  em_pulgar_hacia_arriba ,,,,,,,,
645,175,678, Para que tu presión esté bien tenés que tener menos de 140/90 o 14/9.,educativo,,👍,agradecimiento,👍,👍, em_pulgar_hacia_arriba ,,,,,,,,
646,175,679," Si tenés presión alta, anota tus valores de presión en un papel y llevalos a la consulta con el médico. Así puede saber como va el tratamiento.",educativo,,👍,agradecimiento,👍,👍, em_pulgar_hacia_arriba ,,,,,,,,
647,175,680, Podés tener tu presión normal si usas menos sal en tu comida. Proteje tu corazón.,educativo,,👍,agradecimiento,👍,👍, em_pulgar_hacia_arriba ,,,,,,,,
648,175,681," Haciendo actividad física al menos 30 minutos al día te va a bajar el azúcar, la presión y vas evitar enfermedades.",educativo,,👍👍,agradecimiento,👍👍,👍👍, em_pulgar_hacia_arriba  em_pulgar_hacia_arriba ,,,,,,,,
649,175,682," Haciendo actividad física al menos 30 minutos al día te va a bajar el azúcar, la presión y vas evitar enfermedades.",educativo,,👍👍,agradecimiento,👍👍,👍👍, em_pulgar_hacia_arriba  em_pulgar_hacia_arriba ,,,,,,,,
650,175,683," La tentación de comer alimentos con grasa y dulces puede ser muy fuerte, pero recuerda que es importante estar bien.",educativo,,👍👍,agradecimiento,👍👍,👍👍, em_pulgar_hacia_arriba  em_pulgar_hacia_arriba ,,,,,,,,
651,175,684," La tentación de comer alimentos con grasa y dulces puede ser muy fuerte, pero recuerda que es importante estar bien.",educativo,,👍,agradecimiento,👍,👍, em_pulgar_hacia_arriba ,,,,,,,,
652,175,685," Planifica hacer actividad física o el ejercicio que más te guste. Te vas a divertir y además te va a ayudar a bajar la presión, el colesterol y el azúcar.",educativo,,👍👍,agradecimiento,👍👍,👍👍, em_pulgar_hacia_arriba  em_pulgar_hacia_arriba ,,,,,,,,
653,175,686, ¿Cuánto tiempo pasas mirando tele? Para ser una persona activa sólo necesita 30 minutos al día de actividad física!,educativo,,👍👍,agradecimiento,👍👍,👍👍, em_pulgar_hacia_arriba  em_pulgar_hacia_arriba ,,,,,,,,
654,175,687, Si pasaron mas de 3 meses de la ultima vez que viste al medico. Pedi a un turno.,educativo,,👍👍,agradecimiento,👍👍,👍👍, em_pulgar_hacia_arriba  em_pulgar_hacia_arriba ,,,,,,,,
655,175,688, Si pasaron mas de 3 meses de la ultima vez que viste al medico. Pedi a un turno.,educativo,,👍👍,agradecimiento,👍👍,👍👍, em_pulgar_hacia_arriba  em_pulgar_hacia_arriba ,,,,,,,,
656,175,689, Los medicamentos para la DIABETES funcionan muy bien y bajan el azúcar en sangre cuando los tomás como le indicó el médico.,educativo,,👍,agradecimiento,👍,👍, em_pulgar_hacia_arriba ,,,,,,,,
657,175,690, Fíjate cuántos medicamentos para la DIABETES le quedan. Visita al médico para conseguir una receta antes de que se te acaben.,educativo,,👍🙈,agradecimiento,👍🙈,👍🙈, em_pulgar_hacia_arriba  em_mono_con_los_ojos_tapados ,,,,,,,,
658,175,691," En la visita con el médico, habla los temas que son importantes para estar bien. (ej: qué análisis tenes que hacerte o cómo tomar los medicamentos)",educativo,,👍,agradecimiento,👍,👍, em_pulgar_hacia_arriba ,,,,,,,,
